scenario_id,model_id,observed_rule,excess_rule,structural_n,excess_n,structural_clean_cooking_mean,excess_clean_cooking_mean,clean_cooking_difference_excess_minus_structural,structural_hap_pm_mean,excess_hap_pm_mean,hap_pm_difference_excess_minus_structural
sdi_spline_year_fe_main__top25_observed__top33_log_excess_ratio,sdi_spline_year_fe_main,top25_observed,top33_log_excess_ratio,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_spline_year_fe_main__top25_observed__top25_log_excess_ratio,sdi_spline_year_fe_main,top25_observed,top25_log_excess_ratio,41,10,17.358536585365854,75.35,57.99146341463414,262.9367074789892,111.56653412745575,-151.37017335153345
sdi_spline_year_fe_main__top25_observed__ratio_gt_1_2,sdi_spline_year_fe_main,top25_observed,ratio_gt_1_2,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_spline_year_fe_main__top25_observed__excess_rate_gt_0,sdi_spline_year_fe_main,top25_observed,excess_rate_gt_0,36,15,13.475,65.34,51.865,272.3688438999013,139.38613116777782,-132.9827127321235
sdi_spline_year_fe_main__top20_observed__top33_excess_rate,sdi_spline_year_fe_main,top20_observed,top33_excess_rate,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
sdi_spline_year_fe_main__top20_observed__top25_excess_rate,sdi_spline_year_fe_main,top20_observed,top25_excess_rate,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
sdi_spline_year_fe_main__top20_observed__top20_excess_rate,sdi_spline_year_fe_main,top20_observed,top20_excess_rate,31,10,14.25806451612903,70.41,56.151935483870965,270.5562481729172,139.3771177019534,-131.1791304709638
sdi_spline_year_fe_main__top20_observed__top33_log_excess_ratio,sdi_spline_year_fe_main,top20_observed,top33_log_excess_ratio,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_spline_year_fe_main__top20_observed__top25_log_excess_ratio,sdi_spline_year_fe_main,top20_observed,top25_log_excess_ratio,33,8,16.703030303030303,74.36250000000001,57.65946969696971,266.09859468480744,124.97015572266564,-141.1284389621418
sdi_spline_year_fe_main__top20_observed__ratio_gt_1_2,sdi_spline_year_fe_main,top20_observed,ratio_gt_1_2,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_spline_year_fe_main__top20_observed__excess_rate_gt_0,sdi_spline_year_fe_main,top20_observed,excess_rate_gt_0,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
sdi_spline_year_fe_population_weighted_wls__top33_observed__top33_excess_rate,sdi_spline_year_fe_population_weighted_wls,top33_observed,top33_excess_rate,50,18,23.359,77.45714285714284,54.09814285714284,247.3803701180129,93.23595430632676,-154.14441581168614
sdi_spline_year_fe_population_weighted_wls__top33_observed__top25_excess_rate,sdi_spline_year_fe_population_weighted_wls,top33_observed,top25_excess_rate,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_spline_year_fe_population_weighted_wls__top33_observed__top20_excess_rate,sdi_spline_year_fe_population_weighted_wls,top33_observed,top20_excess_rate,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_spline_year_fe_population_weighted_wls__top33_observed__top33_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top33_observed,top33_log_excess_ratio,53,15,24.762500000000003,80.39166666666667,55.62916666666666,242.8766914021379,78.32006927341465,-164.55662212872326
sdi_spline_year_fe_population_weighted_wls__top33_observed__top25_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top33_observed,top25_log_excess_ratio,57,11,27.190178571428568,91.2125,64.02232142857144,238.42131745901645,41.56823529550832,-196.85308216350813
sdi_spline_year_fe_population_weighted_wls__top33_observed__ratio_gt_1_2,sdi_spline_year_fe_population_weighted_wls,top33_observed,ratio_gt_1_2,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_spline_year_fe_population_weighted_wls__top33_observed__excess_rate_gt_0,sdi_spline_year_fe_population_weighted_wls,top33_observed,excess_rate_gt_0,46,22,20.294565217391305,73.26666666666667,52.97210144927536,256.75857599662885,101.65323579861828,-155.10534019801057
sdi_spline_year_fe_population_weighted_wls__top25_observed__top33_excess_rate,sdi_spline_year_fe_population_weighted_wls,top25_observed,top33_excess_rate,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_spline_year_fe_population_weighted_wls__top25_observed__top25_excess_rate,sdi_spline_year_fe_population_weighted_wls,top25_observed,top25_excess_rate,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_spline_year_fe_population_weighted_wls__top25_observed__top20_excess_rate,sdi_spline_year_fe_population_weighted_wls,top25_observed,top20_excess_rate,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_spline_year_fe_population_weighted_wls__top25_observed__top33_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top25_observed,top33_log_excess_ratio,42,9,17.65,80.43333333333334,62.78333333333334,261.02853457579954,103.6524328588372,-157.37610171696235
sdi_spline_year_fe_population_weighted_wls__top25_observed__top25_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top25_observed,top25_log_excess_ratio,46,5,21.22391304347826,97.78,76.55608695652174,253.9293239790045,43.06428897578134,-210.8650350032232
sdi_spline_year_fe_population_weighted_wls__top25_observed__ratio_gt_1_2,sdi_spline_year_fe_population_weighted_wls,top25_observed,ratio_gt_1_2,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_spline_year_fe_population_weighted_wls__top25_observed__excess_rate_gt_0,sdi_spline_year_fe_population_weighted_wls,top25_observed,excess_rate_gt_0,38,13,13.83684210526316,72.26153846153845,58.42469635627529,270.22836884584626,125.18402552084282,-145.04434332500344
sdi_spline_year_fe_population_weighted_wls__top20_observed__top33_excess_rate,sdi_spline_year_fe_population_weighted_wls,top20_observed,top33_excess_rate,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_spline_year_fe_population_weighted_wls__top20_observed__top25_excess_rate,sdi_spline_year_fe_population_weighted_wls,top20_observed,top25_excess_rate,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_spline_year_fe_population_weighted_wls__top20_observed__top20_excess_rate,sdi_spline_year_fe_population_weighted_wls,top20_observed,top20_excess_rate,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_spline_year_fe_population_weighted_wls__top20_observed__top33_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top20_observed,top33_log_excess_ratio,34,7,17.082352941176474,80.75714285714285,63.67478991596638,263.6484432395196,116.7096857480432,-146.93875749147634
sdi_spline_year_fe_population_weighted_wls__top20_observed__top25_log_excess_ratio,sdi_spline_year_fe_population_weighted_wls,top20_observed,top25_log_excess_ratio,37,4,20.440540540540542,97.45,77.00945945945946,259.0508746505444,49.0331270774574,-210.01774757308692
sdi_spline_year_fe_population_weighted_wls__top20_observed__ratio_gt_1_2,sdi_spline_year_fe_population_weighted_wls,top20_observed,ratio_gt_1_2,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_spline_year_fe_population_weighted_wls__top20_observed__excess_rate_gt_0,sdi_spline_year_fe_population_weighted_wls,top20_observed,excess_rate_gt_0,31,10,14.25806451612903,70.41,56.151935483870965,270.5562481729172,139.3771177019534,-131.1791304709638
sdi_poly2_year_fe__top33_observed__top33_excess_rate,sdi_poly2_year_fe,top33_observed,top33_excess_rate,45,23,20.16333333333333,70.78947368421052,50.62614035087719,258.83640016301774,104.33163809037964,-154.50476207263813
sdi_poly2_year_fe__top33_observed__top25_excess_rate,sdi_poly2_year_fe,top33_observed,top25_excess_rate,49,19,22.336458333333336,73.7625,51.42604166666666,248.52947363820175,98.3853407969811,-150.14413284122068
sdi_poly2_year_fe__top33_observed__top20_excess_rate,sdi_poly2_year_fe,top33_observed,top20_excess_rate,50,18,23.445918367346938,73.56666666666666,50.12074829931973,245.91322535060152,97.31135643802506,-148.60186891257646
sdi_poly2_year_fe__top33_observed__top33_log_excess_ratio,sdi_poly2_year_fe,top33_observed,top33_log_excess_ratio,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_poly2_year_fe__top33_observed__top25_log_excess_ratio,sdi_poly2_year_fe,top33_observed,top25_log_excess_ratio,52,16,24.66764705882353,76.4846153846154,51.81696832579186,244.03213843785164,84.84965529039013,-159.1824831474615
