location_name,iso3,dominant_contextual_lag_domain,dominant_delta_z,has_positive_lag,number_of_positive_lag_domains,profile_2023,transition_pathway
Israel,ISR,Household energy/HAP,0.6050979317466538,True,4,Neither,Neither -> Neither
Italy,ITA,Household energy/HAP,0.434896893698301,True,3,Neither,Neither -> Neither
Jamaica,JAM,Health resources,1.668508981704647,True,5,Neither,Neither -> Neither
Jordan,JOR,Household energy/HAP,1.9789532067730469,True,5,Excess-only,Excess-only -> Excess-only
Japan,JPN,Household energy/HAP,0.6785926988627506,True,3,Neither,Neither -> Neither
Kazakhstan,KAZ,Health resources,0.5631649278764443,True,4,Neither,Neither -> Neither
Kenya,KEN,WASH,1.4522663085785283,True,5,Double-high,Double-high -> Double-high
Kyrgyzstan,KGZ,Ambient PM2.5,0.24982511492502288,True,1,Neither,Neither -> Neither
Cambodia,KHM,Climate/transmission,0.1868419030598505,True,1,Structural high,Double-high -> Structural high
Kiribati,KIR,Household energy/HAP,1.1821041872949707,True,6,Structural high,Neither -> Structural high
Saint Kitts and Nevis,KNA,Health resources,1.2139660642950285,True,6,Excess-only,Neither -> Excess-only
Republic of Korea,KOR,HIV/TB,0.5253068697981749,True,4,Neither,Neither -> Neither
Kuwait,KWT,Ambient PM2.5,0.4076064538526203,True,4,Double-high,Excess-only -> Double-high
Lao People's Democratic Republic,LAO,Climate/transmission,0.007910789618826686,True,1,Structural high,Structural high -> Structural high
Lebanon,LBN,Health resources,3.728106006098014,True,6,Excess-only,Double-high -> Excess-only
Liberia,LBR,HIV/TB,0.2504456242294272,True,3,Structural high,Structural high -> Structural high
Libya,LBY,WASH,1.1969685106445969,True,5,Double-high,Excess-only -> Double-high
Saint Lucia,LCA,Household energy/HAP,0.7228487372932796,True,5,Neither,Neither -> Neither
Sri Lanka,LKA,Household energy/HAP,2.6833166963729047,True,7,Excess-only,Excess-only -> Excess-only
Lesotho,LSO,HIV/TB,1.2608380570713487,True,1,Double-high,Double-high -> Double-high
Lithuania,LTU,Health resources,0.8768088488444079,True,1,Excess-only,Neither -> Excess-only
Luxembourg,LUX,HIV/TB,0.11589242152223539,True,1,Neither,Neither -> Neither
Latvia,LVA,No positive contextual lag,0.0,False,0,Excess-only,Neither -> Excess-only
Morocco,MAR,Health resources,0.7969230956918587,True,7,Neither,Double-high -> Neither
Monaco,MCO,Immunisation/UHC,0.6857862947486675,True,2,Neither,Neither -> Neither
Republic of Moldova,MDA,HIV/TB,2.368770484274048,True,5,Neither,Neither -> Neither
Madagascar,MDG,Health resources,0.6487921533988132,True,5,Structural high,Double-high -> Structural high
Maldives,MDV,WASH,0.4825332072449745,True,3,Neither,Neither -> Neither
Mexico,MEX,Immunisation/UHC,1.053329255918315,True,5,Neither,Neither -> Neither
Marshall Islands,MHL,HIV/TB,3.184695013942118,True,5,Double-high,Neither -> Double-high
North Macedonia,MKD,Health resources,0.5426844193218754,True,4,Neither,Neither -> Neither
Mali,MLI,Climate/transmission,0.0828188833416462,True,1,Structural high,Neither -> Structural high
Malta,MLT,Household energy/HAP,0.5127048069675719,True,4,Neither,Neither -> Neither
Myanmar,MMR,Immunisation/UHC,0.898566738869877,True,6,Structural high,Structural high -> Structural high
Montenegro,MNE,Immunisation/UHC,1.005313611807141,True,5,Excess-only,Neither -> Excess-only
Mongolia,MNG,Ambient PM2.5,1.2158352783095323,True,1,Neither,Neither -> Neither
Northern Mariana Islands,MNP,Household energy/HAP,0.2682109616029398,True,2,Excess-only,Excess-only -> Excess-only
Mozambique,MOZ,HIV/TB,1.447329070817045,True,1,Neither,Structural high -> Neither
Mauritania,MRT,No positive contextual lag,0.0,False,0,Structural high,Structural high -> Structural high
Mauritius,MUS,WASH,0.9180742784733473,True,6,Double-high,Excess-only -> Double-high
Malawi,MWI,Health resources,0.09119891754588039,True,2,Structural high,Double-high -> Structural high
Malaysia,MYS,Household energy/HAP,0.8054064085197357,True,4,Excess-only,Excess-only -> Excess-only
Namibia,NAM,Health resources,1.9968404075362245,True,6,Double-high,Double-high -> Double-high
Niger,NER,Ambient PM2.5,0.4384256956604171,True,4,Structural high,Structural high -> Structural high
Nigeria,NGA,HIV/TB,0.20713094563879297,True,2,Double-high,Double-high -> Double-high
Nicaragua,NIC,Immunisation/UHC,0.5925284875476184,True,5,Neither,Neither -> Neither
Niue,NIU,Immunisation/UHC,1.1072314649068127,True,4,Double-high,Excess-only -> Double-high
Netherlands,NLD,Household energy/HAP,0.4280586398687451,True,3,Neither,Neither -> Neither
Norway,NOR,No positive contextual lag,0.0,False,0,Neither,Neither -> Neither
Nepal,NPL,Ambient PM2.5,0.7018973489789545,True,3,Structural high,Double-high -> Structural high
Nauru,NRU,Health resources,1.5497202965991987,True,5,Double-high,Double-high -> Double-high
New Zealand,NZL,Household energy/HAP,0.6829033044325221,True,4,Neither,Neither -> Neither
Oman,OMN,Household energy/HAP,1.6627045817027302,True,6,Excess-only,Excess-only -> Excess-only
Pakistan,PAK,Health resources,0.4982853580861572,True,4,Double-high,Double-high -> Double-high
Panama,PAN,Immunisation/UHC,0.6809703556986111,True,4,Neither,Neither -> Neither
Peru,PER,Immunisation/UHC,0.7383816428929025,True,2,Neither,Double-high -> Neither
