location_name,iso3,year,domain,adverse_z,peer_reference,indicator_group,profile_2023,marked_adverse_z_gt_0_5
Sri Lanka,LKA,2023,Health resources,1.5902238690111046,same-year SDI-quintile peers,Health resources,Excess-only,True
Thailand,THA,2023,Household energy/HAP,-0.2871939004365706,same-year SDI-quintile peers,Household energy/HAP,Double-high,False
Thailand,THA,2023,Ambient PM2.5,0.4474564900424002,same-year SDI-quintile peers,Ambient PM2.5,Double-high,False
Thailand,THA,2023,Climate/transmission,0.9011234335176538,same-year SDI-quintile peers,Climate/transmission,Double-high,True
Thailand,THA,2023,WASH,-1.074019760768698,same-year SDI-quintile peers,WASH,Double-high,False
Thailand,THA,2023,Immunisation/UHC,0.125819165751096,same-year SDI-quintile peers,Immunisation/UHC,Double-high,False
Thailand,THA,2023,HIV/TB,0.3280154653449977,same-year SDI-quintile peers,HIV/TB,Double-high,False
Thailand,THA,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Double-high,False
Thailand,THA,2023,Health resources,0.4111548950126152,same-year SDI-quintile peers,Health resources,Double-high,False
Timor-Leste,TLS,2023,Household energy/HAP,-0.0801078957927497,same-year SDI-quintile peers,Household energy/HAP,Double-high,False
Timor-Leste,TLS,2023,Ambient PM2.5,-1.2108882493843467,same-year SDI-quintile peers,Ambient PM2.5,Double-high,False
Timor-Leste,TLS,2023,Climate/transmission,0.5643894317005115,same-year SDI-quintile peers,Climate/transmission,Double-high,True
Timor-Leste,TLS,2023,WASH,-1.0558350234214025,same-year SDI-quintile peers,WASH,Double-high,False
Timor-Leste,TLS,2023,Immunisation/UHC,-0.0951074803133976,same-year SDI-quintile peers,Immunisation/UHC,Double-high,False
Timor-Leste,TLS,2023,HIV/TB,0.6084917332793194,same-year SDI-quintile peers,HIV/TB,Double-high,True
Timor-Leste,TLS,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Double-high,False
Timor-Leste,TLS,2023,Health resources,-1.6203830878258354,same-year SDI-quintile peers,Health resources,Double-high,False
Viet Nam,VNM,2023,Household energy/HAP,-0.0536142768842357,same-year SDI-quintile peers,Household energy/HAP,Neither,False
Viet Nam,VNM,2023,Ambient PM2.5,-0.0058606920582122,same-year SDI-quintile peers,Ambient PM2.5,Neither,False
Viet Nam,VNM,2023,Climate/transmission,0.648018651496705,same-year SDI-quintile peers,Climate/transmission,Neither,True
Viet Nam,VNM,2023,WASH,-0.5483826011650732,same-year SDI-quintile peers,WASH,Neither,False
Viet Nam,VNM,2023,Immunisation/UHC,1.020922639659874,same-year SDI-quintile peers,Immunisation/UHC,Neither,True
Viet Nam,VNM,2023,HIV/TB,-0.0510048387480729,same-year SDI-quintile peers,HIV/TB,Neither,False
Viet Nam,VNM,2023,Nutrition,0.0063588197114479,same-year SDI-quintile peers,Nutrition,Neither,False
Viet Nam,VNM,2023,Health resources,0.6218216316006039,same-year SDI-quintile peers,Health resources,Neither,True
Fiji,FJI,2023,Household energy/HAP,1.5386616630084706,same-year SDI-quintile peers,Household energy/HAP,Double-high,True
Fiji,FJI,2023,Ambient PM2.5,-1.623156857338294,same-year SDI-quintile peers,Ambient PM2.5,Double-high,False
Fiji,FJI,2023,Climate/transmission,0.8920894197735203,same-year SDI-quintile peers,Climate/transmission,Double-high,True
Fiji,FJI,2023,WASH,0.0138443400151114,same-year SDI-quintile peers,WASH,Double-high,False
Fiji,FJI,2023,Immunisation/UHC,-0.3662281697286476,same-year SDI-quintile peers,Immunisation/UHC,Double-high,False
Fiji,FJI,2023,HIV/TB,-0.1174939531140165,same-year SDI-quintile peers,HIV/TB,Double-high,False
Fiji,FJI,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Double-high,False
Fiji,FJI,2023,Health resources,1.2603464717484487,same-year SDI-quintile peers,Health resources,Double-high,True
Kiribati,KIR,2023,Household energy/HAP,1.7702253532579924,same-year SDI-quintile peers,Household energy/HAP,Structural high,True
Kiribati,KIR,2023,Ambient PM2.5,-1.3380409186752282,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Kiribati,KIR,2023,Climate/transmission,0.9534156372801998,same-year SDI-quintile peers,Climate/transmission,Structural high,True
Kiribati,KIR,2023,WASH,1.2469931903917335,same-year SDI-quintile peers,WASH,Structural high,True
Kiribati,KIR,2023,Immunisation/UHC,-0.0277051397288297,same-year SDI-quintile peers,Immunisation/UHC,Structural high,False
Kiribati,KIR,2023,HIV/TB,2.7012737060619108,same-year SDI-quintile peers,HIV/TB,Structural high,True
Kiribati,KIR,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Kiribati,KIR,2023,Health resources,0.2811601218128522,same-year SDI-quintile peers,Health resources,Structural high,False
Marshall Islands,MHL,2023,Household energy/HAP,0.0286828744061443,same-year SDI-quintile peers,Household energy/HAP,Double-high,False
Marshall Islands,MHL,2023,Ambient PM2.5,-1.3199606554108334,same-year SDI-quintile peers,Ambient PM2.5,Double-high,False
Marshall Islands,MHL,2023,Climate/transmission,0.9602716777958672,same-year SDI-quintile peers,Climate/transmission,Double-high,True
Marshall Islands,MHL,2023,WASH,-0.0206073034245834,same-year SDI-quintile peers,WASH,Double-high,False
Marshall Islands,MHL,2023,Immunisation/UHC,0.1871360288296546,same-year SDI-quintile peers,Immunisation/UHC,Double-high,False
Marshall Islands,MHL,2023,HIV/TB,2.7798800339739884,same-year SDI-quintile peers,HIV/TB,Double-high,True
Marshall Islands,MHL,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Double-high,False
Marshall Islands,MHL,2023,Health resources,-0.9278377418216628,same-year SDI-quintile peers,Health resources,Double-high,False
Micronesia (Federated States of),FSM,2023,Household energy/HAP,1.41816866112979,same-year SDI-quintile peers,Household energy/HAP,Neither,True
Micronesia (Federated States of),FSM,2023,Ambient PM2.5,-1.365050913055161,same-year SDI-quintile peers,Ambient PM2.5,Neither,False
