location_name,iso3,domain,adverse_z_2000,adverse_z_2023,delta_adverse_z,catchup_or_lag,profile_2000,profile_2023,transition_pathway
Austria,AUT,Climate/transmission,-0.5130308908887081,-0.6122338249824442,-0.09920293409373604,catch-up,Neither,Neither,Neither -> Neither
Austria,AUT,HIV/TB,-0.3067180907763092,-0.6220265366076037,-0.31530844583129447,catch-up,Neither,Neither,Neither -> Neither
Austria,AUT,Health resources,-0.5548257804608668,-1.3599511695639772,-0.8051253891031104,catch-up,Neither,Neither,Neither -> Neither
Austria,AUT,Household energy/HAP,-0.6544823529124089,0.118127746636918,0.7726100995493268,lag,Neither,Neither,Neither -> Neither
Austria,AUT,Immunisation/UHC,1.137212908273267,0.5963163332373216,-0.5408965750359453,catch-up,Neither,Neither,Neither -> Neither
Austria,AUT,WASH,-0.5417449126643905,-0.5316656713762107,0.01007924128817983,lag,Neither,Neither,Neither -> Neither
Azerbaijan,AZE,Ambient PM2.5,-0.2366847058830038,0.4750203364461681,0.7117050423291719,lag,Double-high,Excess-only,Double-high -> Excess-only
Azerbaijan,AZE,Climate/transmission,-0.7500814797311306,-0.8299837607610012,-0.07990228102987063,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Azerbaijan,AZE,HIV/TB,-0.0801455397084776,-0.2171073535681635,-0.1369618138596859,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Azerbaijan,AZE,Health resources,-0.739599566035956,0.9829715107184528,1.722571076754409,lag,Double-high,Excess-only,Double-high -> Excess-only
Azerbaijan,AZE,Household energy/HAP,0.6113946416518896,-0.6446565040113452,-1.2560511456632348,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Azerbaijan,AZE,Immunisation/UHC,1.0991058417007775,1.7843057029578795,0.685199861257102,lag,Double-high,Excess-only,Double-high -> Excess-only
Azerbaijan,AZE,Nutrition,0.6727051174463419,0.0924284199809926,-0.5802766974653493,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Azerbaijan,AZE,WASH,1.1354808810432957,-0.5288682081878238,-1.6643490892311195,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Bahamas,BHS,Ambient PM2.5,-0.5795830076800107,-0.6558474319068652,-0.07626442422685453,catch-up,Neither,Excess-only,Neither -> Excess-only
Bahamas,BHS,Climate/transmission,1.0086939054696982,1.1399507251006142,0.13125681963091607,lag,Neither,Excess-only,Neither -> Excess-only
Bahamas,BHS,HIV/TB,2.516389626253392,1.199599005717524,-1.316790620535868,catch-up,Neither,Excess-only,Neither -> Excess-only
Bahamas,BHS,Health resources,0.6020280507413319,0.5918496412385967,-0.010178409502735186,catch-up,Neither,Excess-only,Neither -> Excess-only
Bahamas,BHS,Household energy/HAP,-0.9087561001062991,-0.7031823542059947,0.20557374590030442,lag,Neither,Excess-only,Neither -> Excess-only
Bahamas,BHS,Immunisation/UHC,-0.749149677709844,0.1984075531145273,0.9475572308243713,lag,Neither,Excess-only,Neither -> Excess-only
Bahamas,BHS,WASH,1.1636061706106844,,,stable,Neither,Excess-only,Neither -> Excess-only
Bahrain,BHR,Ambient PM2.5,2.561310597566834,2.491759332734287,-0.06955126483254714,catch-up,Neither,Excess-only,Neither -> Excess-only
Bahrain,BHR,Climate/transmission,0.2852080396483582,0.4637904541277182,0.17858241447935996,lag,Neither,Excess-only,Neither -> Excess-only
Bahrain,BHR,HIV/TB,-0.5016342381733858,-0.4777021909642334,0.02393204720915243,lag,Neither,Excess-only,Neither -> Excess-only
Bahrain,BHR,Health resources,0.3168606555139121,0.6700880639918804,0.35322740847796824,lag,Neither,Excess-only,Neither -> Excess-only
Bahrain,BHR,Household energy/HAP,-0.9989530665214896,0.118127746636918,1.1170808131584076,lag,Neither,Excess-only,Neither -> Excess-only
Bahrain,BHR,Immunisation/UHC,-1.0568589818942458,-0.4009527967881847,0.655906185106061,lag,Neither,Excess-only,Neither -> Excess-only
Bahrain,BHR,WASH,-1.1767449382043922,-0.5165251767158012,0.660219761488591,lag,Neither,Excess-only,Neither -> Excess-only
Bangladesh,BGD,Ambient PM2.5,2.1919503905814155,2.4928363648880376,0.3008859743066221,lag,Double-high,Structural high,Double-high -> Structural high
Bangladesh,BGD,Climate/transmission,0.6429346536111118,0.8037153477936921,0.16078069418258034,lag,Double-high,Structural high,Double-high -> Structural high
Bangladesh,BGD,HIV/TB,-0.4579094665080798,-0.2097559121205706,0.2481535543875092,lag,Double-high,Structural high,Double-high -> Structural high
Bangladesh,BGD,Health resources,0.5797389925844874,-0.3975668615298195,-0.9773058541143069,catch-up,Double-high,Structural high,Double-high -> Structural high
Bangladesh,BGD,Household energy/HAP,0.5477701741174652,-0.8677400867896903,-1.4155102609071555,catch-up,Double-high,Structural high,Double-high -> Structural high
Bangladesh,BGD,Immunisation/UHC,0.1092895269817776,-1.0900954226949184,-1.199384949676696,catch-up,Double-high,Structural high,Double-high -> Structural high
Bangladesh,BGD,Nutrition,0.8807609209515646,,,stable,Double-high,Structural high,Double-high -> Structural high
Bangladesh,BGD,WASH,-0.4683965811162259,-1.358381803767983,-0.8899852226517571,catch-up,Double-high,Structural high,Double-high -> Structural high
Barbados,BRB,Ambient PM2.5,-1.703630605360986,-0.3105348475445593,1.3930957578164267,lag,Neither,Excess-only,Neither -> Excess-only
Barbados,BRB,Climate/transmission,1.9984913285954504,1.383809130297787,-0.6146821982976634,catch-up,Neither,Excess-only,Neither -> Excess-only
Barbados,BRB,HIV/TB,0.1701402338122385,1.0397844448500568,0.8696442110378183,lag,Neither,Excess-only,Neither -> Excess-only
Barbados,BRB,Health resources,0.2858095887283959,0.843991692498588,0.5581821037701921,lag,Neither,Excess-only,Neither -> Excess-only
Barbados,BRB,Household energy/HAP,-0.5247874989832134,-0.0582340718910703,0.4665534270921431,lag,Neither,Excess-only,Neither -> Excess-only
Barbados,BRB,Immunisation/UHC,0.1678534627469539,0.1685729581642668,0.0007194954173128931,lag,Neither,Excess-only,Neither -> Excess-only
Barbados,BRB,WASH,-0.0449438732045017,-0.1654175847727717,-0.12047371156826998,catch-up,Neither,Excess-only,Neither -> Excess-only
Belarus,BLR,Ambient PM2.5,0.39239870534306,-0.2444737044644646,-0.6368724098075246,catch-up,Neither,Neither,Neither -> Neither
Belarus,BLR,Climate/transmission,-0.7528072798407762,-0.8141019952495737,-0.061294715408797495,catch-up,Neither,Neither,Neither -> Neither
Belarus,BLR,HIV/TB,0.9821330328771494,-0.0807510152517822,-1.0628840481289317,catch-up,Neither,Neither,Neither -> Neither
Belarus,BLR,Health resources,-0.7373592612472342,-0.2753861587915618,0.46197310245567236,lag,Neither,Neither,Neither -> Neither
Belarus,BLR,Household energy/HAP,0.1707865525225579,-0.4052253205985561,-0.576011873121114,catch-up,Neither,Neither,Neither -> Neither
Belarus,BLR,Immunisation/UHC,-0.1236747395048076,0.2539256360795223,0.3776003755843299,lag,Neither,Neither,Neither -> Neither
Belarus,BLR,Nutrition,,-0.7109196667304408,,stable,Neither,Neither,Neither -> Neither
Belarus,BLR,WASH,-0.4563903788070437,-0.4798362547304514,-0.02344587592340769,catch-up,Neither,Neither,Neither -> Neither
