Location,ISO3,Profile 2000,Profile 2023,Transition pathway,Delta adverse z: Household energy/HAP,Delta adverse z: Ambient PM2.5,Delta adverse z: Climate/transmission,Delta adverse z: WASH,Delta adverse z: Immunisation/UHC,Delta adverse z: HIV/TB,Delta adverse z: Nutrition,Delta adverse z: Health resources,Dominant contextual lag domain,Dominant delta adverse z,Number of positive lag domains
Belarus,BLR,Neither,Neither,Neither -> Neither,-0.576011873121114,-0.6368724098075246,-0.061294715408797495,-0.02344587592340769,0.3776003755843299,-1.0628840481289317,,0.46197310245567236,Health resources,0.46197310245567236,2
Belgium,BEL,Neither,Neither,Neither -> Neither,0.9445020196457412,-0.4873263749371521,-0.14773854152289873,0.0028729716754501977,-0.08243892132154118,-0.18703706625489097,,-0.8325173295874532,Household energy/HAP,0.9445020196457412,2
Belize,BLZ,Neither,Neither,Neither -> Neither,1.0059807104518563,0.38017807113814234,-0.0005653736578591362,0.9328103082262305,1.0966429968777451,0.00458956433910529,,0.9703046390279308,Immunisation/UHC,1.0966429968777451,6
Bhutan,BTN,Structural high,Neither,Structural high -> Neither,-2.764674639756645,-0.08322564389232229,0.1732192058841795,-1.2264759540391816,-1.086147700245855,-0.4456933057236738,,-2.323116213278631,Climate/transmission,0.1732192058841795,1
Bosnia and Herzegovina,BIH,Neither,Neither,Neither -> Neither,0.9802969715528258,-0.1727200482953113,0.19296519966233583,1.1934005443658406,0.5717008449709876,-0.5204559430868148,,-0.6784924038090935,WASH,1.1934005443658406,4
Brunei Darussalam,BRN,Neither,Neither,Neither -> Neither,-0.9144970549624245,0.07438981355343455,-0.06022870450007689,-3.061501968381217,-0.5286521770466743,-1.0489353975416664,,-0.5956508167156995,Ambient PM2.5,0.07438981355343455,1
Burkina Faso,BFA,Structural high,Neither,Structural high -> Neither,-0.531345398883544,-0.3323340503569958,-0.0004377539913887063,0.32020452404401745,-1.4350467249437107,-0.2587386563714083,,-0.5831129752561774,WASH,0.32020452404401745,1
Cabo Verde,CPV,Neither,Neither,Neither -> Neither,0.12367768091917763,0.1939201066847805,0.04841086799047206,0.0507016316856132,0.45011250886185883,-0.025952943819750496,,0.4993787597485483,Health resources,0.4993787597485483,6
Canada,CAN,Neither,Neither,Neither -> Neither,0.7474927449644311,0.022452814066288074,-0.023887957014979144,0.2843627973708046,-0.2941738959724502,-0.3007845329252037,,0.1390468073585061,Household energy/HAP,0.7474927449644311,4
Chile,CHL,Neither,Neither,Neither -> Neither,0.030697971153488268,0.08734494746004379,0.0314797562246657,-0.05189042844303432,-0.3827389308833595,0.8545752230405623,,0.8176192525096568,HIV/TB,0.8545752230405623,5
Colombia,COL,Neither,Neither,Neither -> Neither,0.3116864847433176,-0.507561861177523,-0.06888580732239347,-0.3120645173735678,-0.38110382638486406,0.03880347352740532,,-0.3347579781136885,Household energy/HAP,0.3116864847433176,2
Congo,COG,Double-high,Neither,Double-high -> Neither,0.7097835085637262,0.7512955692553576,-0.04362325552722468,,-0.1630478240283798,-0.1987641330745911,,0.11324285873426188,Ambient PM2.5,0.7512955692553576,3
Costa Rica,CRI,Neither,Neither,Neither -> Neither,0.15477747229539585,0.20151887346338848,-0.00421844859508369,-0.051361870142172084,0.1438475074668244,-0.023879297242411335,,-1.8095959203085703,Ambient PM2.5,0.20151887346338848,3
Cuba,CUB,Neither,Neither,Neither -> Neither,0.2377824986935776,0.007373110431218244,0.17188050287989054,0.3443373787852833,0.9156538712090296,-0.026761219722068297,,,Immunisation/UHC,0.9156538712090296,5
Cyprus,CYP,Neither,Neither,Neither -> Neither,0.08060089592893094,-0.4631088487610492,0.20838607766903258,0.019823427964325013,-0.7386160157694555,-0.01779771087235238,,-1.0258358120607405,Climate/transmission,0.20838607766903258,3
Côte d'Ivoire,CIV,Structural high,Neither,Structural high -> Neither,-1.1101139495627352,-0.37646265051767935,0.07732168957693686,-0.2586436107333224,-0.44181483698511503,-0.45285285041650186,,-0.2878708884342962,Climate/transmission,0.07732168957693686,1
Denmark,DNK,Neither,Neither,Neither -> Neither,0.35087235667090566,-0.2700337731123389,-0.1960677074554563,0.003987171508449572,-0.27691909530474257,-0.3372254461795396,,-0.5771537024879071,Household energy/HAP,0.35087235667090566,2
Dominican Republic,DOM,Neither,Neither,Neither -> Neither,1.2855125526191626,0.10680314243875433,0.14050901218528838,1.0922399753222332,0.19231109513296873,0.4070209641241896,,0.8224283443169111,Household energy/HAP,1.2855125526191626,7
Ecuador,ECU,Excess-only,Neither,Excess-only -> Neither,0.7497379164747024,-1.2460134128115763,0.0619673825143236,0.319690389694794,0.32858547061152354,-0.027048346176641425,,-0.4427280779922765,Household energy/HAP,0.7497379164747024,4
El Salvador,SLV,Neither,Neither,Neither -> Neither,-0.046843037557920075,0.049965072673437194,0.1123702782901011,0.8935943338298293,-0.01390805764377201,0.16473634499281026,,0.6759766127046717,WASH,0.8935943338298293,5
Equatorial Guinea,GNQ,Double-high,Neither,Double-high -> Neither,1.6289985588019449,0.6201987164600181,-0.05066364760166442,,0.4429584747968477,0.35491778309529454,,0.032884098306089904,Household energy/HAP,1.6289985588019449,5
Finland,FIN,Neither,Neither,Neither -> Neither,1.0635184250041971,-0.13354239742746232,-0.15809843228183562,0.0027387061520655065,0.3732079852121656,-0.24957045199148165,,-0.8839794561708499,Household energy/HAP,1.0635184250041971,3
France,FRA,Neither,Neither,Neither -> Neither,1.003550907668746,-0.3938560892119012,-0.18604458105837873,-0.0022709298976832937,0.09082895537014346,0.019147295016343435,,-0.3809212194711946,Household energy/HAP,1.003550907668746,3
